test_case,renderer,platform,run,seconds,rss_kib,pss_kib,uss_kib,anonymous_kib,cpu_percent,vm_hwm_kib
idle,skia-software,x11,1,5,38308,25104,21612,8180,3.40,38308
idle,skia-software,x11,1,10,38308,25104,21612,8180,0.00,38308
idle,skia-software,x11,1,20,38308,25104,21612,8180,0.00,38308
idle,skia-software,x11,1,30,38308,25104,21612,8180,0.00,38308
idle,skia-software,x11,2,5,38408,25218,21740,8160,3.40,38408
idle,skia-software,x11,2,10,38408,25220,21740,8160,0.00,38408
idle,skia-software,x11,2,20,38408,25218,21740,8160,0.00,38408
idle,skia-software,x11,2,30,38408,25218,21740,8160,0.00,38408
idle,skia-software,x11,3,5,38156,25115,21648,8168,3.80,38156
idle,skia-software,x11,3,10,38156,25115,21648,8168,0.00,38156
idle,skia-software,x11,3,20,38156,25117,21648,8168,0.00,38156
idle,skia-software,x11,3,30,38156,25115,21648,8168,0.00,38156
pagination-1,skia-software,x11,1,5,38104,25087,21632,8160,3.40,38104
pagination-1,skia-software,x11,1,10,38104,25084,21632,8160,0.00,38104
pagination-1,skia-software,x11,1,20,38220,25200,21748,8276,50.63,38220
pagination-1,skia-software,x11,1,30,38240,25220,21768,8296,99.56,38240
pagination-1,skia-software,x11,1,60,38264,25242,21788,8320,99.72,38264
pagination-1,skia-software,x11,1,90,38288,25263,21812,8344,99.12,38288
pagination-1,skia-software,x11,1,120,38336,25312,21860,8392,99.92,38336
pagination-1,skia-software,x11,1,150,38364,25340,21884,8420,99.12,38364
pagination-1,skia-software,x11,1,180,38364,25338,21884,8420,42.35,38364
pagination-1,skia-software,x11,1,210,38364,25338,21884,8420,0.00,38364
pagination-1,skia-software,x11,1,240,38364,25338,21884,8420,0.00,38364
pagination-1,skia-software,x11,1,270,38364,25337,21884,8420,0.00,38364
pagination-1,skia-software,x11,1,280,38364,25307,21880,8420,0.00,38364
pagination-1,skia-software,x11,1,290,38364,25337,21884,8420,0.00,38364
pagination-1,skia-software,x11,1,300,38364,25404,21972,8420,0.00,38364
pagination-2,skia-software,x11,1,5,38052,24931,21464,8160,3.60,38052
pagination-2,skia-software,x11,1,10,38052,24931,21464,8160,0.00,38052
pagination-2,skia-software,x11,1,20,38168,25047,21580,8276,50.83,38168
pagination-2,skia-software,x11,1,30,38188,25067,21600,8296,99.27,38188
pagination-2,skia-software,x11,1,60,38204,25085,21616,8312,99.52,38204
pagination-2,skia-software,x11,1,90,38244,25111,21656,8352,99.62,38244
pagination-2,skia-software,x11,1,120,38312,25047,21724,8404,97.82,38312
pagination-2,skia-software,x11,1,150,38316,25051,21728,8408,98.88,38316
pagination-2,skia-software,x11,1,180,38320,25055,21732,8412,40.75,38320
pagination-2,skia-software,x11,1,210,38320,25124,21820,8412,0.00,38320
pagination-2,skia-software,x11,1,240,38320,25126,21820,8412,0.00,38320
pagination-2,skia-software,x11,1,270,38320,25124,21820,8412,0.00,38320
pagination-2,skia-software,x11,1,280,38320,25124,21820,8412,0.00,38320
pagination-2,skia-software,x11,1,290,38320,25124,21820,8412,0.00,38320
pagination-2,skia-software,x11,1,300,38336,25140,21836,8428,5.69,38336
