test_case,renderer,platform,run,seconds,rss_kib,pss_kib,uss_kib,anonymous_kib,cpu_percent
idle,skia-software,x11,1,5,38132,24927,21032,8172,3.60
idle,skia-software,x11,1,10,38132,24927,21032,8172,0.00
idle,skia-software,x11,1,20,38132,24929,21032,8172,0.00
idle,skia-software,x11,1,30,38132,24926,21032,8172,0.00
idle,skia-software,x11,2,5,38504,25184,21268,8168,3.40
idle,skia-software,x11,2,10,38504,25181,21264,8168,0.00
idle,skia-software,x11,2,20,38504,25191,21268,8168,0.00
idle,skia-software,x11,2,30,38504,25188,21268,8168,0.00
idle,skia-software,x11,3,5,38236,25062,21148,8172,3.40
idle,skia-software,x11,3,10,38236,25062,21148,8172,0.00
idle,skia-software,x11,3,20,38236,25063,21160,8172,0.00
idle,skia-software,x11,3,30,38236,25064,21160,8172,0.00
idle-soak,skia-software,x11,1,30,38316,25150,21272,8172,0.60
idle-soak,skia-software,x11,1,60,38316,25150,21272,8172,0.00
idle-soak,skia-software,x11,1,120,38316,25140,21252,8172,0.00
idle-soak,skia-software,x11,1,180,38316,25146,21252,8172,0.00
idle-soak,skia-software,x11,1,300,38316,25142,21256,8172,0.00
interaction-1,skia-software,x11,1,3,38124,24890,20988,8176,5.99
interaction-1,skia-software,x11,1,6,45332,32104,28208,15384,33.88
interaction-1,skia-software,x11,1,15,45676,32438,28532,15728,93.33
interaction-1,skia-software,x11,1,30,45724,32487,28580,15776,93.67
interaction-1,skia-software,x11,1,45,45748,32512,28604,15800,93.26
interaction-1,skia-software,x11,1,60,45760,32522,28616,15812,93.01
interaction-1,skia-software,x11,1,90,45768,32531,28624,15820,93.13
interaction-1,skia-software,x11,1,120,45768,32532,28624,15820,80.51
interaction-1,skia-software,x11,1,130,45768,32531,28624,15820,0.00
interaction-1,skia-software,x11,1,140,45768,32541,28644,15820,0.00
interaction-1,skia-software,x11,1,150,45768,32541,28644,15820,0.00
interaction-1,skia-software,x11,1,180,46088,32860,28964,15820,8.96
interaction-2,skia-software,x11,1,3,38496,25287,21372,8176,5.66
interaction-2,skia-software,x11,1,6,45720,32516,28604,15400,33.54
interaction-2,skia-software,x11,1,15,46072,32869,28956,15752,92.67
interaction-2,skia-software,x11,1,30,46096,32891,28980,15776,93.34
interaction-2,skia-software,x11,1,60,46116,32911,29000,15796,93.14
interaction-2,skia-software,x11,1,90,46136,32927,29012,15816,92.84
interaction-2,skia-software,x11,1,120,46136,32927,29012,15816,78.54
interaction-2,skia-software,x11,1,130,46136,32938,29020,15816,0.00
interaction-2,skia-software,x11,1,140,46136,32929,29016,15816,0.00
interaction-2,skia-software,x11,1,150,46136,32929,29016,15816,0.00
interaction-2,skia-software,x11,1,180,46136,32927,29012,15816,0.00
interaction-2,skia-software,x11,1,190,46136,32927,29012,15816,0.00
interaction-2,skia-software,x11,1,200,46136,32933,29020,15816,0.00
interaction-2,skia-software,x11,1,210,46136,32927,29012,15816,0.00
interaction-2,skia-software,x11,1,240,46136,32937,29020,15816,0.00
interaction-2,skia-software,x11,1,270,46136,32927,29012,15816,0.00
interaction-2,skia-software,x11,1,300,46136,32929,29016,15816,0.00
resize-3840x2400,skia-software,x11,1,3,38364,25091,21204,8164,6.32
resize-3840x2400,skia-software,x11,1,6,70172,41482,22180,9152,3.99
resize-3840x2400,skia-software,x11,1,9,70172,41482,22180,9152,0.00
resize-3840x2400,skia-software,x11,1,12,70172,41502,22192,9152,1.33
resize-3840x2400,skia-software,x11,1,15,70172,41502,22192,9152,0.00
resize-3840x2400,skia-software,x11,1,30,70172,41498,22192,9152,0.00
resize-3840x2400,skia-software,x11,1,60,70172,41491,22180,9152,0.00
